Correct Spelling| Misspelling
Berkeley, CA|Berkely, CA
Niagara Falls, NY|Niagra Falls, NY
Tucson, AZ|Tuscon, AZ
Washington DC| Washinton DC
Pittsburgh, PA|Pittsburg, PA
Los Angeles, CA|Los Angelos,CA
Los Angels, CA|Las Angeles, CA
Berkeley, CA|Berkley, CA
Los Angels, CA|Las Angeles, CA
San Francisco, CA|San Fransisco, CA
Bismarck, ND|Bismark,
Washington DC| WSHINGTONDC
Worcester, MA|Worchester, MA
Cincinnati, OH|Cincinatti, OH
Myrtle Beach, SC|Mrytle
Phoenix, AZ|Pheonix, AZ
Santa Ana, CA|Santa Anna, CA
Washington DC| Wushinton D.C.
Santa Anna, TX|Santa Ana, TX
Paterson, NJ|Patterson, NJ
Raleigh, NC|Raliegh, NC
San Diego, CA|San Deigo, CA
Chattanooga, TN|Chatanooga, TN
Bozeman, MT|Boseman, MT
Grand Prairie, TX|Grand Prarie, TX
Seattle, WA|Seatle, WA
Corpus Christi, TX|Corpus Christy, TX
Wichita, KS|Witchita, KS
Bellevue, WA|Bellvue, WA
Corpus Christi, TX|Corpus Cristi , TX
Chesapeake, VA|Chesapeak, VA
Minneapolis, MN|Mineapolis, MN
Cleveland, OH|Clevland, OH
Independence, MO|Independance, MO
Des Moines, IA|Des Moine, IA
Milwaukee, WI|Milwauke, WI
Washington DC| Washington D.C.
Washington DC| WSHINGTON DC
